date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-07-27,28.18,34.83,21.93,61.68,1.66,2.59,3.73,1.41,217.0,0.36,0.37,0.38
2014-07-28,26.47,30.77,22.42,71.05,3.08,1.7,2.71,0.81,212.5,0.39,0.36,0.38
2014-07-29,26.8,31.7,22.39,66.76,1.69,1.61,2.33,0.98,192.8,0.38,0.36,0.38
2014-07-30,25.68,30.61,22.32,75.01,9.9,2.17,3.33,1.04,235.1,0.46,0.37,0.38
2014-07-31,25.45,29.54,21.41,77.43,10.83,2.16,4.0,0.74,247.4,0.51,0.38,0.38
2014-08-01,23.27,25.18,22.12,89.34,15.9,1.91,3.67,0.58,252.0,0.57,0.41,0.39
2014-08-02,23.45,26.61,21.54,86.08,7.54,3.13,5.93,1.45,218.6,0.53,0.42,0.4
2014-08-03,23.57,27.18,20.85,87.31,22.64,2.25,3.8,0.95,246.1,0.62,0.44,0.4
2014-08-04,24.98,29.8,20.66,78.99,2.06,1.67,3.51,0.67,254.8,0.51,0.46,0.41
2014-08-05,24.55,28.1,21.38,82.44,3.61,2.29,3.84,0.92,237.2,0.49,0.45,0.41
2014-08-06,24.22,28.2,21.65,80.22,2.0,2.45,4.69,0.94,232.1,0.48,0.44,0.41
2014-08-07,24.36,28.97,20.6,79.09,5.09,2.55,3.44,1.73,234.0,0.48,0.43,0.41
2014-08-08,24.87,29.74,20.59,79.36,4.99,2.72,4.4,0.99,240.0,0.48,0.42,0.41
2014-08-09,23.3,25.74,21.27,84.09,5.89,2.76,4.12,0.85,230.4,0.51,0.43,0.41
2014-08-10,24.95,30.3,19.85,76.23,2.77,1.95,2.99,1.19,256.0,0.47,0.42,0.41
2014-08-11,25.42,29.89,21.53,76.48,3.07,2.59,3.86,1.37,283.2,0.46,0.42,0.41
2014-08-12,23.59,26.14,21.75,86.74,5.15,3.15,4.94,1.5,251.0,0.48,0.41,0.41
2014-08-13,24.27,29.65,19.68,76.34,2.24,2.7,4.2,1.42,238.4,0.47,0.41,0.41
2014-08-14,25.07,30.28,20.33,74.9,1.27,2.17,3.62,0.7,265.0,0.43,0.4,0.41
2014-08-15,24.07,27.27,21.85,85.38,18.98,2.08,2.69,0.82,5.9,0.53,0.41,0.41
2014-08-16,23.58,28.49,20.33,83.81,10.47,2.28,3.71,1.12,164.2,0.57,0.44,0.42
2014-08-17,24.91,28.55,20.87,77.19,6.52,0.72,1.25,0.34,118.2,0.53,0.44,0.43
2014-08-18,25.09,29.82,21.38,76.94,5.51,1.18,1.87,0.42,22.4,0.52,0.45,0.43
2014-08-19,25.64,30.44,21.14,74.04,7.5,0.94,1.55,0.45,159.6,0.51,0.44,0.43
2014-08-20,24.74,29.6,20.71,77.81,8.55,1.63,2.79,0.98,210.7,0.54,0.44,0.43
2014-08-21,24.26,29.18,19.97,80.97,10.28,1.76,3.41,0.6,246.3,0.55,0.44,0.43
2014-08-22,22.79,25.23,20.72,88.51,18.71,1.31,1.96,0.68,331.1,0.63,0.47,0.44
2014-08-23,23.12,27.56,20.0,83.54,4.54,2.39,4.43,0.9,180.4,0.55,0.48,0.45
2014-08-24,25.03,30.1,19.16,73.88,0.73,0.64,1.12,0.08,275.9,0.49,0.47,0.45
2014-08-25,25.88,31.27,20.89,73.57,1.36,2.23,3.42,0.81,255.2,0.47,0.45,0.44
2014-08-26,25.11,28.92,22.03,78.15,1.92,1.75,2.86,0.21,199.5,0.47,0.44,0.44
2014-08-27,25.28,30.69,19.88,73.71,0.79,1.2,2.64,0.57,257.6,0.45,0.43,0.44
2014-08-28,26.75,31.91,21.12,68.08,1.94,1.43,2.65,0.74,295.8,0.45,0.42,0.44
2014-08-29,26.58,32.64,21.55,73.76,7.71,1.9,3.0,0.89,216.4,0.49,0.42,0.44
2014-08-30,25.04,28.77,22.38,85.99,21.27,1.84,3.3,0.72,232.2,0.61,0.44,0.44
2014-08-31,24.61,28.72,21.51,82.32,15.57,0.8,1.3,0.12,37.0,0.59,0.46,0.45
2014-09-01,23.86,26.76,21.1,84.88,30.72,1.26,2.08,0.38,172.2,0.68,0.5,0.47
2014-09-02,24.39,29.13,20.3,83.32,31.27,2.04,3.67,0.78,224.3,0.7,0.55,0.48
